3.5938E+04,2.5694E+06,9.1332E+06,2.0337E+07,3.2978E+07,5.4700E+07,7.4316E+07,1.0450E+08,1.3590E+08,1.6891E+08
3.7972E+04,2.6508E+06,8.4535E+06,1.9439E+07,3.4332E+07,4.9061E+07,7.4464E+07,9.6707E+07,1.2604E+08,1.6388E+08
4.0084E+04,2.6886E+06,8.5672E+06,1.8388E+07,3.3133E+07,5.1576E+07,6.9816E+07,1.0225E+08,1.3107E+08,1.5511E+08
4.2280E+04,2.6840E+06,9.3208E+06,1.9024E+07,3.3689E+07,5.3914E+07,7.8604E+07,1.0122E+08,1.3043E+08,1.7411E+08
4.4561E+04,2.6986E+06,9.4615E+06,2.0982E+07,3.5537E+07,5.4333E+07,7.9741E+07,1.0950E+08,1.4167E+08,1.7689E+08
4.6930E+04,2.7711E+06,9.6528E+06,2.2092E+07,3.9270E+07,5.9935E+07,8.2268E+07,1.0604E+08,1.3166E+08,1.6038E+08
4.9391E+04,2.8950E+06,1.0052E+07,2.3134E+07,3.8587E+07,5.8783E+07,7.8797E+07,1.0180E+08,1.2903E+08,1.5943E+08
5.1947E+04,3.0376E+06,1.1013E+07,2.3197E+07,3.8153E+07,5.5204E+07,7.3796E+07,9.7169E+07,1.2722E+08,1.6599E+08
5.4600E+04,3.1662E+06,1.1221E+07,2.3523E+07,3.8734E+07,5.4826E+07,7.3153E+07,9.8168E+07,1.3376E+08,1.7165E+08
5.7354E+04,3.2691E+06,1.1895E+07,2.4101E+07,3.6421E+07,5.0194E+07,7.3994E+07,1.0383E+08,1.3960E+08,1.7088E+08
6.0209E+04,3.3566E+06,1.2380E+07,2.2267E+07,3.3667E+07,5.1090E+07,7.8571E+07,1.0756E+08,1.3510E+08,1.6157E+08
6.3168E+04,3.4448E+06,1.2257E+07,2.1675E+07,3.2894E+07,5.4217E+07,8.1494E+07,1.0539E+08,1.2897E+08,1.6164E+08
6.6232E+04,3.5503E+06,1.1929E+07,2.0843E+07,3.4209E+07,5.5060E+07,8.1398E+07,1.0089E+08,1.2749E+08,1.6926E+08
6.9402E+04,3.7046E+06,1.1515E+07,2.0037E+07,3.5013E+07,5.7822E+07,7.6230E+07,9.8412E+07,1.3758E+08,1.7110E+08
7.2677E+04,4.0032E+06,1.0987E+07,1.9729E+07,3.6577E+07,5.8595E+07,7.3984E+07,9.9594E+07,1.3730E+08,1.6312E+08
7.6057E+04,4.4006E+06,1.0528E+07,1.8854E+07,3.7642E+07,5.5671E+07,7.2809E+07,1.0648E+08,1.3594E+08,1.6080E+08
7.9538E+04,4.1605E+06,1.0351E+07,1.9279E+07,3.8049E+07,5.2633E+07,7.4333E+07,1.0645E+08,1.2781E+08,1.6528E+08
8.3118E+04,3.9817E+06,1.0207E+07,2.1293E+07,3.9240E+07,5.1123E+07,7.8642E+07,1.0496E+08,1.2853E+08,1.7227E+08
8.6791E+04,3.9595E+06,9.4978E+06,2.2039E+07,3.7876E+07,5.2332E+07,8.1116E+07,9.9790E+07,1.3251E+08,1.6760E+08
9.0552E+04,4.0008E+06,9.5261E+06,2.4571E+07,3.5471E+07,5.2875E+07,7.8616E+07,9.7726E+07,1.3729E+08,1.6143E+08
9.4392E+04,4.0793E+06,9.5301E+06,2.3024E+07,3.3431E+07,5.4848E+07,7.6759E+07,1.0307E+08,1.3962E+08,1.6220E+08
